,line,module,job_id,state,time
0,C,4,47,storing_job,2022-02-18T09:48:44.461600
1,A,1,13,waiting_on_next,2022-02-18T08:18:39.924000
2,B,6,24,waiting_on_precedent,2022-02-18T18:33:48.436960
3,A,3,1,fetching_job,2022-02-18T23:13:24.186800
4,A,3,11,waiting_on_precedent,2022-02-18T13:10:29.105200
5,C,3,47,storing_job,2022-02-18T09:38:41.467000
6,A,2,21,processing,2022-02-18T02:02:49.786400
7,B,5,32,storing_job,2022-02-18T11:44:06.448440
8,C,2,63,processing,2022-02-18T02:23:30.860400
9,B,4,22,fetching_job,2022-02-18T19:00:28.619760
10,C,2,65,storing_job,2022-02-18T01:32:34.732000
11,C,6,57,processing,2022-02-18T05:41:50.706800
12,C,1,55,storing_job,2022-02-18T04:57:21.026800
13,A,3,20,processing,2022-02-18T04:00:42.697600
14,C,3,53,fetching_job,2022-02-18T06:05:33.970200
15,C,7,49,waiting_on_precedent,2022-02-18T10:03:48.073400
16,A,1,7,storing_job,2022-02-18T14:42:21.384600
17,A,3,14,processing,2022-02-18T10:37:46.160600
18,D,4,67,processing,2022-02-18T06:16:22.585600
19,C,2,60,processing,2022-02-18T03:19:29.574199
20,B,2,38,processing,2022-02-18T03:02:45.632079
21,A,2,16,processing,2022-02-18T07:07:40.508600
22,C,5,51,processing,2022-02-18T08:49:58.853800
23,B,4,33,processing,2022-02-18T09:36:44.196960
24,C,1,56,storing_job,2022-02-18T04:47:49.026800
25,C,2,57,fetching_job,2022-02-18T04:25:22.057799
26,C,5,52,storing_job,2022-02-18T07:20:58.453800
27,B,2,28,storing_job,2022-02-18T11:51:14.073160
28,D,4,70,processing,2022-02-18T04:54:35.154600
29,B,2,33,fetching_job,2022-02-18T06:59:27.648760
30,D,1,69,processing,2022-02-18T02:22:22.375600
31,A,1,8,fetching_job,2022-02-18T12:48:34.671600
32,B,2,30,storing_job,2022-02-18T10:06:03.413760
33,A,2,7,storing_job,2022-02-18T17:20:31.528800
34,D,3,73,processing,2022-02-18T01:46:47.223600
35,A,2,17,fetching_job,2022-02-18T05:53:30.588200
36,C,6,63,storing_job,2022-02-18T03:49:53.279200
37,A,1,6,storing_job,2022-02-18T15:32:54.173400
38,B,3,22,waiting_on_precedent,2022-02-18T16:19:04.922759
39,B,6,24,fetching_job,2022-02-18T19:13:55.589560
40,B,2,32,fetching_job,2022-02-18T07:40:06.999560
41,C,1,47,processing,2022-02-18T08:47:50.107000
42,B,4,36,storing_job,2022-02-18T07:52:01.051160
43,C,6,61,fetching_job,2022-02-18T04:09:23.609400
44,D,1,66,idle,2022-02-18T04:06:56.771600
